"payment_id","city","country","film_category","film_rating","payment_amount"
17597,"Guadalajara","Mexico","Sports","PG","2.99"
17598,"Guadalajara","Mexico","Animation","PG-13","2.99"
17599,"Guadalajara","Mexico","Sports","PG-13","4.99"
17600,"Guadalajara","Mexico","Classics","PG-13","4.99"
17601,"Guadalajara","Mexico","Classics","R","3.99"
17602,"Okinawa","Japan","New","NC-17","1.99"
17603,"Okinawa","Japan","Sports","PG-13","6.99"
17604,"Okinawa","Japan","Music","R","4.99"
17605,"Okinawa","Japan","Travel","R","2.99"
17606,"Okinawa","Japan","Family","PG","0.99"
17607,"Balikesir","Turkey","Sports","R","1.99"
17608,"Balikesir","Turkey","Foreign","R","0.99"
17609,"Adoni","India","Family","R","0.99"
17610,"Najafabad","Iran","Classics","PG","0.99"
17611,"Najafabad","Iran","Sports","G","9.99"
17612,"Najafabad","Iran","Travel","NC-17","4.99"
17613,"Najafabad","Iran","Travel","PG","4.99"
17614,"Najafabad","Iran","Sci-Fi","PG","4.99"
17615,"Najafabad","Iran","Drama","PG-13","4.99"
17616,"Jurez","Mexico","Family","PG","0.99"
17617,"Gulbarga","India","Games","R","6.99"
17618,"Cabuyao","Philippines","Foreign","PG-13","2.99"
17619,"Cabuyao","Philippines","Music","R","1.99"
17620,"Cabuyao","Philippines","Horror","PG-13","6.99"
17621,"Cabuyao","Philippines","Sports","PG","5.99"
17622,"Cabuyao","Philippines","Classics","PG","0.99"
17623,"Cabuyao","Philippines","Classics","NC-17","3.99"
17624,"Cabuyao","Philippines","Sci-Fi","PG","0.99"
17625,"Probolinggo","Indonesia","Children","PG","2.99"
17626,"Probolinggo","Indonesia","Action","PG-13","4.99"
17627,"Probolinggo","Indonesia","Action","PG","3.99"
17628,"Tanauan","Philippines","New","G","6.99"
17629,"Tanauan","Philippines","Sports","G","2.99"
17630,"Vitria de Santo Anto","Brazil","Music","PG-13","1.99"
17631,"Vitria de Santo Anto","Brazil","Children","PG-13","1.99"
17632,"Vitria de Santo Anto","Brazil","Animation","G","4.99"
17633,"Vitria de Santo Anto","Brazil","Music","NC-17","2.99"
17634,"Mwene-Ditu","Congo, The Democratic Republic of the","Travel","G","2.99"
17635,"Mwene-Ditu","Congo, The Democratic Republic of the","Horror","PG-13","5.99"
17636,"Mwene-Ditu","Congo, The Democratic Republic of the","Comedy","PG","4.99"
17637,"Kurgan","Russian Federation","Documentary","PG","0.99"
17638,"Kurgan","Russian Federation","Classics","PG-13","0.99"
17639,"Kermanshah","Iran","New","G","3.99"
17640,"Kermanshah","Iran","Animation","R","1.99"
17641,"Kermanshah","Iran","Classics","NC-17","0.99"
17642,"Kermanshah","Iran","Children","PG-13","2.99"
17643,"Kermanshah","Iran","Classics","R","4.99"
17644,"Shenzhen","China","Music","PG","4.99"
17645,"Shenzhen","China","Documentary","PG","5.99"
17646,"Shenzhen","China","Children","R","7.99"
17647,"Shenzhen","China","Family","PG","4.99"
17648,"Bhavnagar","India","Music","NC-17","8.99"
17649,"Bhavnagar","India","Foreign","PG","5.99"
17650,"Bhavnagar","India","Sci-Fi","PG-13","2.99"
17651,"Tychy","Poland","Travel","R","3.99"
17652,"Tychy","Poland","Action","PG-13","2.99"
17653,"Tychy","Poland","New","NC-17","3.99"
17654,"Tychy","Poland","Sports","PG","2.99"
17655,"Tychy","Poland","Sports","R","4.99"
17656,"Tychy","Poland","Sci-Fi","PG-13","1.99"
17657,"Tychy","Poland","Foreign","NC-17","1.99"
17658,"Tychy","Poland","Documentary","PG-13","4.99"
17659,"South Hill","Anguilla","Classics","R","3.99"
17660,"South Hill","Anguilla","New","PG-13","1.99"
17661,"South Hill","Anguilla","Children","R","2.99"
17662,"South Hill","Anguilla","Comedy","G","4.99"
17663,"South Hill","Anguilla","Children","PG-13","2.99"
17664,"Manchester","United States","Animation","PG-13","0.99"
17665,"Manchester","United States","Music","NC-17","4.99"
17666,"Manchester","United States","Children","G","1.99"
17667,"Manchester","United States","New","NC-17","2.99"
17668,"Manchester","United States","Classics","R","4.99"
17669,"Namibe","Angola","Sci-Fi","PG-13","7.99"
17670,"Namibe","Angola","New","G","2.99"
17671,"Namibe","Angola","Animation","PG","2.99"
17672,"Namibe","Angola","Children","PG-13","2.99"
17673,"Namibe","Angola","Classics","PG-13","7.99"
17674,"Namibe","Angola","Comedy","PG","2.99"
17675,"Huaian","China","Sci-Fi","NC-17","0.99"
17676,"Huaian","China","Foreign","R","0.99"
17677,"Huaian","China","Games","PG-13","7.99"
17678,"Huaian","China","Action","R","5.99"
17679,"Huaian","China","Horror","PG","3.99"
17680,"Huaian","China","Documentary","PG","9.99"
17681,"Huaian","China","Music","NC-17","4.99"
17682,"Tama","Japan","Sci-Fi","R","2.99"
17683,"Tama","Japan","Games","G","0.99"
17684,"Tama","Japan","Sci-Fi","G","0.99"
17685,"Kamjanets-Podilskyi","Ukraine","Children","G","3.99"
17686,"Kamjanets-Podilskyi","Ukraine","Foreign","R","2.99"
17687,"Kamjanets-Podilskyi","Ukraine","Drama","R","5.99"
17688,"Kamjanets-Podilskyi","Ukraine","Sci-Fi","PG","0.99"
17689,"Kamjanets-Podilskyi","Ukraine","Animation","PG-13","2.99"
17690,"Lubumbashi","Congo, The Democratic Republic of the","Travel","PG","0.99"
17691,"Lubumbashi","Congo, The Democratic Republic of the","Sci-Fi","PG","0.99"
17692,"Lubumbashi","Congo, The Democratic Republic of the","Sci-Fi","PG","0.99"
17693,"Lubumbashi","Congo, The Democratic Republic of the","Animation","PG-13","0.99"
17694,"Lubumbashi","Congo, The Democratic Republic of the","Action","R","5.99"
17695,"Lubumbashi","Congo, The Democratic Republic of the","Comedy","PG-13","4.99"
17696,"Cavite","Philippines","Animation","NC-17","6.99"
17697,"Cavite","Philippines","Music","R","0.99"
17698,"Cavite","Philippines","Music","NC-17","5.99"
17699,"Cavite","Philippines","Classics","PG-13","4.99"
17700,"Cavite","Philippines","Comedy","PG-13","7.99"
17701,"Emeishan","China","Sci-Fi","NC-17","4.99"
17702,"Emeishan","China","Games","NC-17","4.99"
17703,"Emeishan","China","Drama","PG","3.99"
17704,"Nakhon Sawan","Thailand","Children","R","5.99"
17705,"Nakhon Sawan","Thailand","Games","G","2.99"
17706,"Nakhon Sawan","Thailand","Children","PG-13","2.99"
17707,"Nakhon Sawan","Thailand","New","NC-17","7.99"
17708,"Nakhon Sawan","Thailand","Music","NC-17","5.99"
17709,"Izumisano","Japan","Sci-Fi","PG","0.99"
17710,"Izumisano","Japan","Family","R","0.99"
17711,"Izumisano","Japan","Horror","PG","2.99"
17712,"Izumisano","Japan","Action","PG-13","2.99"
17713,"Izumisano","Japan","Sports","PG","2.99"
17714,"Addis Abeba","Ethiopia","Family","NC-17","6.99"
17715,"Addis Abeba","Ethiopia","Animation","G","2.99"
17716,"Addis Abeba","Ethiopia","Family","NC-17","2.99"
17717,"Addis Abeba","Ethiopia","Family","PG","4.99"
17718,"Korolev","Russian Federation","Music","NC-17","6.99"
17719,"Korolev","Russian Federation","Action","G","1.99"
17720,"Korolev","Russian Federation","Comedy","PG","2.99"
17721,"Korolev","Russian Federation","Games","NC-17","4.99"
17722,"Korolev","Russian Federation","Games","NC-17","2.99"
17723,"Gijn","Spain","Travel","NC-17","4.99"
17724,"al-Qadarif","Sudan","Music","PG","0.99"
17725,"al-Qadarif","Sudan","Action","PG-13","0.99"
17726,"al-Qadarif","Sudan","Drama","R","0.99"
17727,"al-Qadarif","Sudan","Sci-Fi","PG","4.99"
17728,"al-Qadarif","Sudan","Sci-Fi","PG","0.99"
17729,"al-Qadarif","Sudan","Comedy","R","6.99"
17730,"Iwatsuki","Japan","Sci-Fi","G","1.99"
17731,"Iwatsuki","Japan","Documentary","PG-13","4.99"
17732,"Iwatsuki","Japan","Animation","PG-13","6.99"
17733,"Atinsk","Russian Federation","Drama","NC-17","5.99"
17734,"Atinsk","Russian Federation","Music","PG-13","1.99"
17735,"Bag","Brazil","Travel","R","2.99"
17736,"Bag","Brazil","Travel","PG","6.99"
17737,"Bag","Brazil","Children","NC-17","9.99"
17738,"Okara","Pakistan","Action","PG","2.99"
17739,"Okara","Pakistan","Family","R","5.99"
17740,"Dallas","United States","Animation","R","0.99"
17741,"Dallas","United States","Action","PG","3.99"
17742,"Dallas","United States","Sci-Fi","NC-17","6.99"
17743,"Brest","France","Travel","PG-13","4.99"
17744,"Brest","France","Sports","PG","4.99"
17745,"Brest","France","Drama","G","2.99"
17746,"Valparai","India","Foreign","PG-13","4.99"
17747,"Valparai","India","Foreign","PG-13","8.99"
17748,"Valparai","India","Documentary","PG","3.99"
17749,"Valparai","India","Music","R","4.99"
17750,"Valparai","India","Sci-Fi","NC-17","6.99"
17751,"Valparai","India","Travel","R","5.99"
17752,"Omiya","Japan","Sports","R","2.99"
17753,"Omiya","Japan","Travel","G","4.99"
17754,"Omiya","Japan","Travel","NC-17","4.99"
17755,"Omiya","Japan","Comedy","G","2.99"
17756,"Tandil","Argentina","Games","NC-17","4.99"
17757,"Tandil","Argentina","Documentary","NC-17","0.99"
17758,"Tandil","Argentina","Documentary","PG","5.99"
17759,"Tandil","Argentina","Sports","PG-13","3.99"
17760,"Tandil","Argentina","Travel","PG","4.99"
17761,"Tandil","Argentina","Horror","R","5.99"
17762,"Charlotte Amalie","Virgin Islands, U.S.","Animation","NC-17","4.99"
17763,"Charlotte Amalie","Virgin Islands, U.S.","Horror","R","3.99"
17764,"Charlotte Amalie","Virgin Islands, U.S.","Drama","PG","2.99"
17765,"Charlotte Amalie","Virgin Islands, U.S.","Documentary","PG","0.99"
17766,"Charlotte Amalie","Virgin Islands, U.S.","Animation","PG-13","0.99"
17767,"Charlotte Amalie","Virgin Islands, U.S.","Horror","G","7.99"
17768,"Charlotte Amalie","Virgin Islands, U.S.","New","NC-17","4.99"
17769,"Rustenburg","South Africa","Sports","G","2.99"
17770,"Rustenburg","South Africa","Foreign","R","0.99"
17771,"Jaffna","Sri Lanka","Children","G","4.99"
17772,"Jaffna","Sri Lanka","Children","G","2.99"
17773,"Jaffna","Sri Lanka","Travel","NC-17","2.99"
17774,"Deba Habe","Nigeria","Travel","PG-13","5.99"
17775,"Deba Habe","Nigeria","Comedy","NC-17","8.99"
17776,"Richmond Hill","Canada","Travel","PG","2.99"
17777,"Richmond Hill","Canada","Drama","PG","2.99"
17778,"Richmond Hill","Canada","Thriller","G","4.99"
17779,"Richmond Hill","Canada","Horror","G","5.99"
17780,"Richmond Hill","Canada","Family","PG-13","0.99"
17781,"Richmond Hill","Canada","Animation","G","4.99"
17782,"Cianjur","Indonesia","Animation","PG-13","0.99"
17783,"Cianjur","Indonesia","Foreign","PG","2.99"
17784,"Cianjur","Indonesia","Children","PG","0.99"
17785,"Hoshiarpur","India","Family","R","2.99"
17786,"Berhampore (Baharampur)","India","Horror","R","5.99"
17787,"Berhampore (Baharampur)","India","Family","R","4.99"
17788,"Allende","Mexico","New","NC-17","4.99"
17789,"Allende","Mexico","Drama","G","9.99"
17790,"Allende","Mexico","Foreign","R","5.99"
17791,"Amersfoort","Netherlands","Sports","NC-17","4.99"
17792,"Amersfoort","Netherlands","Sports","PG-13","2.99"
17793,"Dadu","Pakistan","Children","R","2.99"
17794,"Dadu","Pakistan","Comedy","NC-17","4.99"
17795,"Dadu","Pakistan","Music","PG-13","0.99"
17796,"Dadu","Pakistan","Sci-Fi","G","2.99"
17797,"Dadu","Pakistan","Sports","NC-17","0.99"
17798,"al-Qatif","Saudi Arabia","Animation","PG-13","3.99"
17799,"San Felipe de Puerto Plata","Dominican Republic","Documentary","PG-13","2.99"
17800,"San Felipe de Puerto Plata","Dominican Republic","Animation","G","2.99"
17801,"San Felipe de Puerto Plata","Dominican Republic","Foreign","PG","2.99"
17802,"Katihar","India","Animation","PG-13","2.99"
17803,"El Monte","United States","Travel","G","3.99"
17804,"El Monte","United States","Sports","R","0.99"
17805,"El Monte","United States","Animation","PG-13","0.99"
17806,"Pudukkottai","India","Drama","NC-17","4.99"
17807,"Pudukkottai","India","Sci-Fi","G","2.99"
17808,"Pudukkottai","India","Travel","R","4.99"
17809,"Laohekou","China","Foreign","G","0.99"
17810,"Laohekou","China","Foreign","R","4.99"
17811,"Laohekou","China","Games","G","2.99"
17812,"Laohekou","China","Horror","G","5.99"
17813,"Sawhaj","Egypt","Drama","PG-13","3.99"
17814,"Sawhaj","Egypt","Children","R","0.99"
17815,"Sawhaj","Egypt","Travel","PG","6.99"
17816,"Sawhaj","Egypt","Sports","PG","6.99"
17817,"Sawhaj","Egypt","Drama","G","8.99"
17818,"Shanwei","China","Drama","PG","4.99"
17819,"Shanwei","China","Drama","PG-13","6.99"
17820,"Shanwei","China","New","NC-17","0.99"
17821,"San Juan Bautista Tuxtepec","Mexico","Documentary","G","6.99"
17822,"Purnea (Purnia)","India","Music","NC-17","6.99"
17823,"Purnea (Purnia)","India","Sports","G","7.99"
17824,"Purnea (Purnia)","India","Action","PG","2.99"
17825,"Purnea (Purnia)","India","Animation","PG-13","0.99"
17826,"Purnea (Purnia)","India","Games","NC-17","0.99"
17827,"Guaruj","Brazil","Action","G","5.99"
17828,"Guaruj","Brazil","Children","PG-13","3.99"
17829,"Guaruj","Brazil","Documentary","R","5.99"
17830,"Guaruj","Brazil","Documentary","R","1.99"
17831,"Guaruj","Brazil","Travel","PG-13","0.99"
17832,"Syktyvkar","Russian Federation","Documentary","PG","3.99"
17833,"Syktyvkar","Russian Federation","Horror","PG","2.99"
17834,"Syktyvkar","Russian Federation","Games","NC-17","3.99"
17835,"Syktyvkar","Russian Federation","Drama","G","2.99"
17836,"Syktyvkar","Russian Federation","Animation","G","0.99"
17837,"Tsuyama","Japan","Foreign","PG","5.99"
17838,"Tsuyama","Japan","Sports","NC-17","2.99"
17839,"Tsuyama","Japan","Action","G","7.99"
17840,"Tsuyama","Japan","Horror","PG-13","2.99"
17841,"Dzerzinsk","Russian Federation","New","NC-17","0.99"
17842,"Dzerzinsk","Russian Federation","Children","PG","2.99"
17843,"Dzerzinsk","Russian Federation","Animation","G","2.99"
17844,"Dzerzinsk","Russian Federation","Travel","NC-17","6.99"
17845,"Dzerzinsk","Russian Federation","Travel","PG","0.99"
17846,"Dzerzinsk","Russian Federation","Drama","PG","0.99"
17847,"Sucre","Bolivia","Animation","PG-13","2.99"
17848,"Sucre","Bolivia","Animation","G","4.99"
17849,"Sucre","Bolivia","Family","PG","3.99"
17850,"Sucre","Bolivia","Action","G","4.99"
17851,"Sucre","Bolivia","Music","NC-17","2.99"
17852,"Sucre","Bolivia","New","R","6.99"
17853,"Sucre","Bolivia","Children","NC-17","8.99"
17854,"Newcastle","South Africa","New","R","5.99"
17855,"Newcastle","South Africa","Action","R","2.99"
17856,"Newcastle","South Africa","Music","NC-17","4.99"
17857,"Ozamis","Philippines","Drama","PG-13","0.99"
17858,"Ozamis","Philippines","Drama","PG-13","5.99"
17859,"Ozamis","Philippines","Family","PG-13","7.99"
17860,"Ozamis","Philippines","Animation","PG","3.99"
17861,"Ozamis","Philippines","Foreign","PG","3.99"
17862,"Ozamis","Philippines","Classics","NC-17","2.99"
17863,"Ozamis","Philippines","Comedy","PG","2.99"
17864,"Junan","China","Foreign","PG-13","0.99"
17865,"Junan","China","Action","R","0.99"
17866,"Vancouver","Canada","Games","R","9.99"
17867,"La Romana","Dominican Republic","Documentary","PG","5.99"
17868,"La Romana","Dominican Republic","Comedy","PG-13","2.99"
17869,"La Romana","Dominican Republic","Action","G","2.99"
17870,"Kitwe","Zambia","Horror","G","4.99"
17871,"Kitwe","Zambia","Travel","PG","0.99"
17872,"Kitwe","Zambia","Music","R","0.99"
17873,"Kitwe","Zambia","Drama","NC-17","4.99"
17874,"Kitwe","Zambia","Sci-Fi","PG","4.99"
17875,"Kitwe","Zambia","Comedy","G","0.99"
17876,"Bergamo","Italy","Foreign","G","4.99"
17877,"Bergamo","Italy","Action","G","0.99"
17878,"Bergamo","Italy","Travel","G","4.99"
17879,"Bergamo","Italy","Drama","R","2.99"
17880,"Bergamo","Italy","Children","PG-13","2.99"
17881,"Bergamo","Italy","Drama","NC-17","6.99"
17882,"Batna","Algeria","Comedy","PG-13","4.99"
17883,"Batna","Algeria","Action","R","4.99"
17884,"Tongliao","China","Drama","R","5.99"
17885,"Tongliao","China","Foreign","G","0.99"
17886,"Tongliao","China","Games","R","8.99"
17887,"Tongliao","China","Comedy","PG-13","2.99"
17888,"So Leopoldo","Brazil","Family","G","2.99"
17889,"Tartu","Estonia","Animation","G","0.99"
17890,"Tartu","Estonia","Sci-Fi","NC-17","3.99"
17891,"Tartu","Estonia","Music","PG-13","1.99"
17892,"Tartu","Estonia","Family","R","4.99"
17893,"Tartu","Estonia","Foreign","NC-17","7.99"
17894,"Tartu","Estonia","Comedy","NC-17","5.99"
17895,"Uluberia","India","Foreign","PG-13","4.99"
17896,"Uluberia","India","Children","NC-17","3.99"
17897,"Uluberia","India","Action","PG-13","6.99"
17898,"Uluberia","India","Documentary","G","0.99"
17899,"Uluberia","India","Children","NC-17","2.99"
17900,"Uluberia","India","Classics","R","0.99"
17901,"Nabereznyje Telny","Russian Federation","Drama","PG-13","0.99"
17902,"Nabereznyje Telny","Russian Federation","Games","PG","2.99"
17903,"Nabereznyje Telny","Russian Federation","New","NC-17","4.99"
17904,"Nabereznyje Telny","Russian Federation","Sci-Fi","G","4.99"
17905,"Erlangen","Germany","Sports","NC-17","5.99"
17906,"Erlangen","Germany","New","NC-17","7.99"
17907,"Erlangen","Germany","Children","NC-17","0.99"
17908,"Erlangen","Germany","Drama","PG-13","3.99"
17909,"Erlangen","Germany","Drama","PG-13","5.99"
17910,"Sirjan","Iran","Sci-Fi","PG","4.99"
17911,"Sirjan","Iran","Drama","PG-13","0.99"
17912,"Sirjan","Iran","Horror","PG","2.99"
17913,"Surakarta","Indonesia","Sci-Fi","G","4.99"
17914,"Surakarta","Indonesia","Games","NC-17","0.99"
17915,"Surakarta","Indonesia","Games","R","2.99"
17916,"Surakarta","Indonesia","Horror","PG","0.99"
17917,"Surakarta","Indonesia","Sports","R","4.99"
17918,"Surakarta","Indonesia","Drama","PG","2.99"
17919,"Surakarta","Indonesia","Documentary","R","4.99"
17920,"El Fuerte","Mexico","Sports","R","0.99"
17921,"El Fuerte","Mexico","Classics","G","0.99"
17922,"El Fuerte","Mexico","Action","R","6.99"
17923,"El Fuerte","Mexico","Foreign","G","1.99"
17924,"El Fuerte","Mexico","Children","R","3.99"
17925,"El Fuerte","Mexico","Sci-Fi","G","0.99"
17926,"El Fuerte","Mexico","New","NC-17","6.99"
17927,"Abu Dhabi","United Arab Emirates","New","PG","4.99"
17928,"Abu Dhabi","United Arab Emirates","Children","R","5.99"
17929,"Abu Dhabi","United Arab Emirates","Action","NC-17","3.99"
17930,"Abu Dhabi","United Arab Emirates","Action","NC-17","0.99"
17931,"Abu Dhabi","United Arab Emirates","Sports","NC-17","4.99"
17932,"Abu Dhabi","United Arab Emirates","Sci-Fi","R","0.99"
17933,"Abu Dhabi","United Arab Emirates","Music","R","0.99"
17934,"Maracabo","Venezuela","Games","PG","5.99"
17935,"Maracabo","Venezuela","Animation","PG","7.99"
17936,"Maracabo","Venezuela","Animation","G","4.99"
17937,"Uruapan","Mexico","Foreign","PG-13","4.99"
17938,"Uruapan","Mexico","Action","R","7.99"
17939,"Uruapan","Mexico","Sports","NC-17","1.99"
17940,"Uruapan","Mexico","Travel","G","4.99"
17941,"Uruapan","Mexico","Sports","PG","5.99"
17942,"Uruapan","Mexico","Comedy","R","5.99"
17943,"Uruapan","Mexico","Family","PG-13","2.99"
17944,"Uruapan","Mexico","Games","R","9.99"
17945,"Uruapan","Mexico","Sci-Fi","G","2.99"
17946,"Uruapan","Mexico","Music","NC-17","4.99"
17947,"El Alto","Bolivia","Children","PG","1.99"
17948,"El Alto","Bolivia","Drama","PG-13","1.99"
17949,"El Alto","Bolivia","Sci-Fi","R","2.99"
17950,"El Alto","Bolivia","Music","PG","0.99"
17951,"Ziguinchor","Senegal","Travel","PG-13","2.99"
17952,"Ziguinchor","Senegal","Sci-Fi","PG","0.99"
17953,"Ziguinchor","Senegal","New","NC-17","5.99"
17954,"Ziguinchor","Senegal","Sci-Fi","PG-13","6.99"
17955,"Ziguinchor","Senegal","Music","NC-17","4.99"
17956,"Ziguinchor","Senegal","Classics","NC-17","0.99"
17957,"Ziguinchor","Senegal","Family","G","2.99"
17958,"Rockford","United States","Music","PG-13","4.99"
17959,"Rockford","United States","Music","NC-17","0.99"
17960,"Rockford","United States","Music","PG-13","0.99"
17961,"Rockford","United States","Foreign","R","7.99"
17962,"Rockford","United States","Drama","NC-17","4.99"
17963,"Rockford","United States","Family","PG","3.99"
17964,"Rockford","United States","Action","R","0.99"
17965,"Rockford","United States","Sports","NC-17","2.99"
17966,"Rockford","United States","Action","G","2.99"
17967,"Tegal","Indonesia","Documentary","PG-13","5.99"
17968,"Tegal","Indonesia","Drama","PG-13","0.99"
17969,"Qomsheh","Iran","Documentary","G","0.99"
17970,"Qomsheh","Iran","Music","PG-13","2.99"
17971,"Qomsheh","Iran","Horror","PG","4.99"
17972,"Qomsheh","Iran","Action","G","0.99"
17973,"Qomsheh","Iran","Documentary","NC-17","4.99"
17974,"Qomsheh","Iran","Music","PG-13","0.99"
17975,"Qomsheh","Iran","Family","PG","9.99"
17976,"Florencia","Colombia","Drama","PG-13","0.99"
17977,"Gingoog","Philippines","Sci-Fi","PG-13","5.99"
17978,"Gingoog","Philippines","Documentary","R","4.99"
17979,"Usolje-Sibirskoje","Russian Federation","Foreign","R","5.99"
17980,"Usolje-Sibirskoje","Russian Federation","Children","PG-13","9.99"
17981,"Usolje-Sibirskoje","Russian Federation","Comedy","R","4.99"
17982,"Halifax","Canada","Children","G","2.99"
17983,"Halifax","Canada","Music","R","4.99"
17984,"Halifax","Canada","Drama","G","2.99"
17985,"Halifax","Canada","Action","G","4.99"
17986,"Rancagua","Chile","Foreign","NC-17","4.99"
17987,"Rancagua","Chile","Animation","PG","2.99"
17988,"Zapopan","Mexico","Children","G","2.99"
17989,"Zapopan","Mexico","Classics","NC-17","4.99"
17990,"Zapopan","Mexico","Comedy","PG","8.99"
17991,"Zapopan","Mexico","Action","G","0.99"
17992,"Dongying","China","Comedy","G","7.99"
17993,"Dongying","China","Music","NC-17","8.99"
17994,"Dongying","China","Music","PG-13","3.99"
17995,"Dongying","China","Foreign","R","4.99"
17996,"Dongying","China","Comedy","PG","2.99"
