"film_id","title","description","rental_duration"
930,"Vacation Boondock","A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia",4
432,"Hope Tootsie","A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank",4
433,"Horn Working","A Stunning Display of a Mad Scientist And a Technical Writer who must Succumb a Monkey in A Shark Tank",4
497,"Kill Brotherhood","A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback",4
436,"Hours Rage","A Fateful Story of a Explorer And a Feminist who must Meet a Technical Writer in Soviet Georgia",4
439,"Hunchback Impossible","A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan",4
494,"Karate Moon","A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention",4
982,"Women Dorado","A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia",4
491,"Jumping Wrath","A Touching Epistle of a Monkey And a Feminist who must Discover a Boat in Berlin",4
490,"Jumanji Blade","A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans",4
818,"Something Duck","A Boring Character Study of a Car And a Husband who must Outgun a Frisbee in The First Manned Space Station",4
134,"Champion Flatliners","A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery",4
815,"Snatchers Montezuma","A Boring Epistle of a Sumo Wrestler And a Woman who must Escape a Man in The Canadian Rockies",4
452,"Illusion Amelie","A Emotional Epistle of a Boat And a Mad Scientist who must Outrace a Robot in An Abandoned Mine Shaft",4
489,"Juggler Hardly","A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California",4
481,"Jekyll Frogmen","A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank",4
40,"Army Flintstones","A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria",4
458,"Indian Love","A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House",4
459,"Informer Double","A Action-Packed Display of a Woman And a Dentist who must Redeem a Forensic Psychologist in The Canadian Rockies",4
811,"Smile Earring","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin",4
463,"Instinct Airport","A Touching Documentary of a Mad Cow And a Explorer who must Confront a Butler in A Manhattan Penthouse",4
465,"Interview Liaisons","A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse",4
478,"Jaws Harry","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House",4
470,"Ishtar Rocketeer","A Astounding Saga of a Dog And a Squirrel who must Conquer a Dog in An Abandoned Fun House",4
807,"Sleuth Orient","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",4
806,"Sleepy Japanese","A Emotional Epistle of a Moose And a Composer who must Fight a Technical Writer in The Outback",4
41,"Arsenic Independence","A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin",4
798,"Silverado Goldfinger","A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India",4
980,"Wizard Coldblooded","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention",4
974,"Wild Apollo","A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention",4
918,"Twisted Pirates","A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention",4
787,"Shining Roses","A Awe-Inspiring Character Study of a Astronaut And a Forensic Psychologist who must Challenge a Madman in Ancient India",4
781,"Seven Swarm","A Unbelieveable Character Study of a Dog And a Mad Cow who must Kill a Monkey in Berlin",4
213,"Date Speed","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention",4
160,"Club Graffiti","A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat",4
779,"Sense Greek","A Taut Saga of a Lumberjack And a Pastry Chef who must Escape a Sumo Wrestler in An Abandoned Fun House",4
162,"Clueless Bucket","A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House",4
163,"Clyde Theory","A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat",4
164,"Coast Rainbow","A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert",4
775,"Seattle Expecations","A Insightful Reflection of a Crocodile And a Sumo Wrestler who must Meet a Technical Writer in The Sahara Desert",4
772,"Sea Virgin","A Fast-Paced Documentary of a Technical Writer And a Pastry Chef who must Escape a Moose in A U-Boat",4
13,"Ali Forever","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",4
972,"Whisperer Giant","A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan",4
759,"Salute Apollo","A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China",4
757,"Sagebrush Clueless","A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan",4
748,"Rugrats Shakespeare","A Touching Saga of a Crocodile And a Crocodile who must Discover a Technical Writer in Nigeria",4
177,"Connecticut Tramp","A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank",4
744,"Roots Remember","A Brilliant Drama of a Mad Cow And a Hunter who must Escape a Hunter in Berlin",4
179,"Conquerer Nuts","A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft",4
180,"Conspiracy Spirit","A Awe-Inspiring Story of a Student And a Frisbee who must Conquer a Crocodile in An Abandoned Mine Shaft",4
183,"Conversation Downhill","A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention",4
739,"Rocky War","A Fast-Paced Display of a Squirrel And a Explorer who must Outgun a Mad Scientist in Nigeria",4
907,"Translation Summer","A Touching Reflection of a Man And a Monkey who must Pursue a Womanizer in A MySQL Convention",4
98,"Bright Encounters","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat",4
737,"Rock Instinct","A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India",4
192,"Crossing Divorce","A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin",4
906,"Tramp Others","A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India",4
736,"Robbery Bright","A Taut Reflection of a Robot And a Squirrel who must Fight a Boat in Ancient Japan",4
197,"Crusade Honey","A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park",4
734,"Road Roxanne","A Boring Character Study of a Waitress And a Astronaut who must Fight a Crocodile in Ancient Japan",4
199,"Cupboard Sinners","A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park",4
971,"Whale Bikini","A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention",4
969,"West Lion","A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse",4
204,"Dalmations Sweden","A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse",4
733,"River Outlaw","A Thrilling Character Study of a Squirrel And a Lumberjack who must Face a Hunter in A MySQL Convention",4
712,"Raiders Antitrust","A Amazing Drama of a Teacher And a Feminist who must Meet a Woman in The First Manned Space Station",4
215,"Dawn Pond","A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin",4
711,"Raging Airplane","A Astounding Display of a Secret Agent And a Technical Writer who must Escape a Mad Scientist in A Jet Boat",4
710,"Rage Games","A Fast-Paced Saga of a Astronaut And a Secret Agent who must Escape a Hunter in An Abandoned Amusement Park",4
221,"Deliverance Mulholland","A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank",4
222,"Desert Poseidon","A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans",4
226,"Destiny Saturday","A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia",4
227,"Details Packer","A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat",4
228,"Detective Vision","A Fanciful Documentary of a Pioneer And a Woman who must Redeem a Hunter in Ancient Japan",4
708,"Quills Bull","A Thoughtful Story of a Pioneer And a Woman who must Reach a Moose in Australia",4
705,"Purple Movie","A Boring Display of a Pastry Chef And a Sumo Wrestler who must Discover a Frisbee in An Abandoned Amusement Park",4
702,"Pulp Beverly","A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria",4
236,"Divine Resurrection","A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park",4
238,"Doctor Grail","A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback",4
898,"Tourist Pelican","A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia",4
241,"Donnie Alley","A Awe-Inspiring Tale of a Butler And a Frisbee who must Vanquish a Teacher in Ancient Japan",4
242,"Doom Dancing","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention",4
893,"Titans Jerk","A Unbelieveable Panorama of a Feminist And a Sumo Wrestler who must Challenge a Technical Writer in Ancient China",4
245,"Double Wrath","A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico",4
57,"Basic Easy","A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat",4
700,"Prix Undefeated","A Stunning Saga of a Mad Scientist And a Boat who must Overcome a Dentist in Ancient China",4
250,"Dragon Squad","A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China",4
684,"Pizza Jumanji","A Epic Saga of a Cat And a Squirrel who must Outgun a Robot in A U-Boat",4
682,"Pittsburgh Hunchback","A Thrilling Epistle of a Boy And a Boat who must Find a Student in Soviet Georgia",4
882,"Tenenbaums Command","A Taut Display of a Pioneer And a Man who must Reach a Girl in The Gulf of Mexico",4
254,"Driver Annie","A Lacklusture Character Study of a Butler And a Car who must Redeem a Boat in An Abandoned Fun House",4
681,"Pirates Roxanne","A Stunning Drama of a Woman And a Lumberjack who must Overcome a A Shark in The Canadian Rockies",4
680,"Pinocchio Simon","A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California",4
670,"Pelican Comforts","A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin",4
259,"Duck Racer","A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank",4
59,"Bear Graceland","A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station",4
964,"Waterfront Deliverance","A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria",4
666,"Paycheck Wait","A Awe-Inspiring Reflection of a Boy And a Man who must Discover a Moose in The Sahara Desert",4
665,"Patton Interview","A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin",4
266,"Dynamite Tarzan","A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat",4
267,"Eagles Panky","A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert",4
654,"Panky Submarine","A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico",4
20,"Amelie Hellfighters","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",4
877,"Taxi Kick","A Amazing Epistle of a Girl And a Woman who must Outrace a Waitress in Soviet Georgia",4
649,"Oz Liaisons","A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory",4
274,"Egg Igby","A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station",4
647,"Outfield Massacre","A Thoughtful Drama of a Husband And a Secret Agent who must Pursue a Database Administrator in Ancient India",4
277,"Elephant Trojan","A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon",4
278,"Elf Murder","A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft",4
641,"Orange Grapes","A Astounding Documentary of a Butler And a Womanizer who must Face a Dog in A U-Boat",4
870,"Swarm Gold","A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention",4
631,"Novocaine Flight","A Fanciful Display of a Student And a Teacher who must Outgun a Crocodile in Nigeria",4
869,"Suspects Quills","A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse",4
943,"Villain Desperate","A Boring Yarn of a Pioneer And a Feminist who must Redeem a Cat in An Abandoned Amusement Park",4
941,"Videotape Arsenic","A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia",4
290,"Everyone Craft","A Fateful Display of a Waitress And a Dentist who must Reach a Butler in Nigeria",4
860,"Suicides Silence","A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat",4
627,"North Tequila","A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans",4
991,"Worst Banger","A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback",4
74,"Birch Antitrust","A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon",4
623,"Newton Labyrinth","A Intrepid Character Study of a Moose And a Waitress who must Find a A Shark in Ancient India",4
298,"Eyes Driving","A Thrilling Story of a Cat And a Waitress who must Fight a Explorer in The Outback",4
299,"Factory Dragon","A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert",4
854,"Strangers Graffiti","A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico",4
301,"Family Sweet","A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin",4
76,"Birdcage Casper","A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India",4
622,"Newsies Story","A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico",4
617,"Natural Stock","A Fast-Paced Story of a Sumo Wrestler And a Girl who must Defeat a Car in A Baloon Factory",4
616,"National Story","A Taut Epistle of a Mad Scientist And a Girl who must Escape a Monkey in California",4
604,"Mulan Moon","A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon",4
997,"Youth Kick","A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat",4
311,"Fiction Christmas","A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft",4
312,"Fiddler Lost","A Boring Tale of a Squirrel And a Dog who must Challenge a Madman in The Gulf of Mexico",4
30,"Anything Savannah","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House",4
999,"Zoolander Fiction","A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China",5
4,"Affair Prejudice","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",5
15,"Alien Center","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",5
28,"Anthem Luke","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",5
29,"Antitrust Tomatoes","A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India",5
31,"Apache Divine","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",5
33,"Apollo Teen","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft",5
39,"Armageddon Lost","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft",5
42,"Artist Coldblooded","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",5
265,"Dying Maker","A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California",5
44,"Attacks Hate","A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft",5
45,"Attraction Newton","A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan",5
47,"Baby Hall","A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft",5
51,"Balloon Homeward","A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station",5
53,"Bang Kwai","A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park",5
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",5
61,"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",5
62,"Bed Highball","A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House",5
67,"Berets Agent","A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China",5
68,"Betrayed Rear","A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank",5
73,"Bingo Talented","A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria",5
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",5
79,"Blade Polish","A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station",5
83,"Blues Instinct","A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House",5
91,"Bound Cheaper","A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon",5
95,"Breakfast Goldfinger","A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin",5
115,"Campus Remember","A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat",5
125,"Cassidy Wyoming","A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans",5
127,"Cat Coneheads","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India",5
131,"Center Dinosaur","A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California",5
138,"Chariots Conspiracy","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",5
145,"Chisum Behavior","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",5
147,"Chocolat Harry","A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan",5
151,"Cincinatti Whisperer","A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin",5
152,"Circus Youth","A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon",5
159,"Closer Bang","A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India",5
168,"Comancheros Enemy","A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico",5
170,"Command Darling","A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan",5
187,"Cranes Reservoir","A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory",5
190,"Creepers Kane","A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat",5
193,"Crossroads Casualties","A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback",5
202,"Daddy Pittsburgh","A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico",5
203,"Daisy Menagerie","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India",5
239,"Dogma Family","A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans",5
244,"Dorado Notting","A Action-Packed Tale of a Sumo Wrestler And a A Shark who must Meet a Frisbee in California",5
246,"Doubtfire Labyrinth","A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert",5
253,"Drifter Commandments","A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat",5
261,"Duffel Apocalypse","A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention",5
